"No.","コメント","評価"
"No.203 :","格安タブレットが欲しく購入。amazonだけでも調べたら色々なメーカーがあり、迷いました。今年の12月発売なのでスペックは他のメーカーよりも高く、お値段も約1万8000円で買えました。同じTeclastのM40もあると知ってましたがシルバー色と電池の容量がこちらの製品の方が良いためこちらの製品にしました。まだ発売されたばかりなのでケースやフィルムがあまりなく、自分は前機種であるm30の物を購入し使用しています。動作等に特に不満はありません。画質も綺麗です。気になったのは、128GBのはずなのに自分の端末では256GBと認識されています笑　後はPDの急速充電では充電できませんでした、バッテリー容量が大きいので充電には結構時間がかかります。これは格安タブレット全般のことですが、amazonプライムでは画質は標準画質となってしまうため、少し画質は荒くなります。",5
"No.204 :","質問にGPSをサポートしていて、ナビアプリが使えるみたいなことが記載してあったがGPSロガーをインストールしようとしたが、GPSが無いためインストール出来ないばかりか、Googleマップすらピクリとも動かなかった。返品期間は過ぎてしまったが、今すぐ返品したい。嘘の記載をしないで欲しい。",1
"No.205 :","スマホはファーウェイのnova5tを使っています。こちらはミドルクラスのCPUに8GBメモリを搭載していますのでサクサク動きますが、それに対しP80はカクカクしています。また、ディスプレイも端が波打っている様な感じもあり、お世辞にも高品質とは言えません。しかし、使用目的を定め、過度な期待を持たなければコスパに優れたタブレットだと思います。充電ポートはこれでもタイプCですし、ディスプレイも８インチで全体的には軽くできています。過去にファーウェイの８インチ、メモリ4GBモデルも持っていましたが、それよりも軽く簡単に扱うことが出来るのは背面も樹脂パーツだからでしょう。正直前のモデルを使っていた時は確かに高性能でしたが、それ故にスマホと利用目的が被ってしまい、どちらを使うべきか悩んでいましたが、このモデルなら動画視聴とブラウジング程度と割り切れます。マップの展開は楽天無制限回線を使用しても遅い。これはメモリの問題でしょう。でもGPSは動作しているみたいで、位置はきちんと把握します。あと、バッテリー消費量は半端ないです。開封時に６６％あったのが、セットアップ完了したら１０％減るくらいなの

で、使用環境に充電設備は必須かもしれません。総じてお伝えすれば安さと手軽さを求めるならば買い、高品質高性能を求めるならiPadやファーウェイをおすすめします。私はメインにnova5tを、サブとしてP80を使いますから問題なしです。ちなみに、個人的な感覚ですがカバーは手帳型にするのはやめた方がいいかもしれません。手帳型を開く、単純な一作業が長く使っているとタブレットでは段々ストレスになり使うのが億劫になります。以前の２モデル(ファーウェイ８インチ、１０インチ)ではそうでしたから、これは背面カバーとディスプレイガラスフィルムだけで使います。",5
"No.206 :","Androidタブレットで2万円前後、出来れば2万円以下でストレージ64GB以上の物を探してました。前のタブレットが16GBだったので、すぐにパンパンになって削除に追われる日々だったので、倍の32GBでも安心できなくて…(^_^;)microSDカードで拡張出来ると良く聞くが、本体に余裕があったほうが良いに決まってます。自分はあんまり詳しくないので、やっぱり国産が安心かなと探しましたが、自分の思うスペックで国産は存在しません…64GBで3万円以上で種類も少ない！s○nnyやPanas○nicやT○SHIBAとか普通に上位モデルと廉価モデル等、何台もラインナップしてるかなと思いましたが、存在すらしてなかった…そうなると、家電量販店で実物が触れるお隣の大陸産H○AWEIやLen○voですが、国産より種類も豊富でモノも実物を見て高級で良かったのですが64GB以上ならやはり3万前後です。H○AWEIとかの次にあっちでは有名なタブレット扱ってる会社は何処だと検索能力の低い自分なりに調べたら、今回購入したTECLASTとALLD○CUBEって所みたいです。よくAmazonさんで目にするVA

NKY○ってメーカーも候補に加えようか悩んだんですが、その２つのメーカーと比べると新鋭って感じらしいので今回は候補から外しました。おそらくライバル関係であろう２社、どちらも一長一短ありそうです、Lenov○とかの次と言っても、その２社の実物のタブレットは自分の地元の家電量販店では取り扱いが何処にも無いので、購入には勇気がいりましたが、今回、TECLASTのほうがたまたまタイムセールで自分の思う予算でナント128GBのストレージを備えてるのも購入の決めてでした。届いてから初の10インチタブレット、デカい、重い、写真より思ってたより、ちょっと厚い、が印象ですが、それは想定内でタイムセールで浮いた予算でタブレットスタンドを購入していたのでバッチリです。梱包は丁寧、外観もH○AWEIタブレット等に負けないくらい豪華に見えます。画面は傷防止のフィルムを剥がすとさらに下にフィルムは貼ってありますが、無料のフィルムなだけあって滑りがイマイチなので、しばらく使用して我慢出来なかったらガラスフィルムを購入して貼ります。画質や軽いゲームならなにも問題なし、最新3Ｄゲームはこの値段のタブレットに求めたらダメ

だと思います。音質は悪くはないが良くもないです。バッテリーは音量大きめで動画鑑賞してたら、みるみる減っていくが大画面だから仕方ないのかもしれません…１分に１％減るは言い過ぎですが、２～３分に１％減るくらいの体感です…(バッテリー30％くらいから長持ちしていたので総合的にはもっと持つと思います)初期設定も詳しくない私でも簡単に終わりました、最初の下のほうにある日本語設定を見つけられたら後は簡単です。総合的には満足です。これで２年以上持ったら次の購入もTECLASTを選ぶと思います。最後まで悩んだALLD○CUBEも気になりますが…ここまでコスパが良いの出されると国産メーカーがラインナップしてない理由がわかります…日本人にはちょっとさみしいですが…",4
"No.207 :","基本的には気に入っていました。２１年１月に購入し、電子書籍とYoutubeを見るのに使っていました。軽いしやすいので通勤時に電子書籍を読むのに重宝していました。３月の半ば頃から、急にシャットダウンしてしまうことが増え、再起動しても何故かアプリのアイコンがグレーになってしまい、数回再起動しないと行けないことが増えてきました。とうとう、昨日、再起動しても画面が黒いままで、何も出来なくなってしましいました。まぁこの値段なら、諦めも付きますね。最近、８インチでUSB-Cのタブレットも増えて来たようなので、別の端末を検討します。",3
"No.208 :","１週間くらい　悩んで　TECLAST P80 タブレット 8インチ　を購入この値段で　この機能ならば　十分でしょう。この１台では何かが出来る訳でもなく　使用感は　息子のZOOMオンライン授業用に　譲った６年落ちのipad Air2よりも　モッサリしているけどスマホ以上で　モバイルPCの隙間を埋めるには　十分だし　落として壊しても　ショックが少ないので",5
"No.209 :","VANKYOS30からの買い替えですS30とボタン位置や寸法が全く同じなのでケースをそのまま使えましたS30はWiFiの接続が不安定、タッチの追従性が悪く正直我慢して使用しておりましたがその点においてm30proはWiFiも安定して繋がりタッチの追従性もなかなかといったところですRAM6Gとのことですが重いゲーム（パワ●ロetc..）はプレイ出来ますがサクサク動きません。ここら辺はやはり安価なタブレットですただネットサーフィンや動画のダウンロードなどはサクサク動いてくれます耐久性については使用して数日なのでまだ分かりませんが動画の鑑賞や電子書籍を目的に使う分には満足しています",5
"No.210 :","値段の割にはまずまず使える方だが、画面の質が悪すぎて傷がつきやすい。ガラスというよりプラスチックのような質感で少し硬めの物に軽く触れただけで目立ったキズが入ってしまった。同時にガラスフィルムを購入すればよかったと後悔。子供用に考えているので今からでもガラスフィルムを貼ろうと思います。",3
"No.211 :","子供が使うために購入しました。YouTubeなど動画を見るにも画質もそこそこ綺麗に見れますし、持ちやすいサイズなので少し長い時間見てても疲れにくいと思います。ただ、バッテリーの減りは少し早めかなという体感です。購入後、3ヶ月ほどして充電していたところ、熱を持ったためか充電口が溶けてしまうトラブルが発生しましたが、サポートに連絡したところ、新しいタブレットと交換していただけました。連絡してからの返事や対応も早かったのでとても有難かったです。",5
"No.212 :","謎の中華メーカーですが、作りは良くバッテリも程ほど持って良い出来です。有名メーカー製に拘らなければおススメです。時間設定が標準で中国時間になっているのは中華製らしいです（日本時間に設定できます）。",5
"No.213 :","画質はまあまあバッテリーは ちょっと不満です軽さは納得です 買っても損はないと思います",5
"No.214 :","他の人もコメントしてましたが、バッテリーに減りがはやいです。そのためか全体的にポカポカしてる、今の季節は良いけど夏は辛いかも。それ以外は思ったより使いやすいですね。googleでpc,スマホと連携して使ってます。まあこのお値段ですからこんなもんでしょうね。",3
"No.215 :","バッテリーの持ちが悪い事と、スリープに入るとbluetoothが落ちて再起動しないと繋がらなくなるのが不便。それ以外は値段のわりに良いのですが...bluetoothはアップデートとかで改善されないと...",3
"No.216 :","イヤホン三本試しましたが、差し込んでも本体スピーカーの音が切れません。メーカー対応を注視中です。それ以外は、大変満足しています(^^ゞ",3
"No.217 :","半年くらい使ってみて、画質はまあ仕方ないですが、一応ちゃんと動きます。ですがバッテリーのもちが悪く、TECLAST社に問い合わせたところ、対応は◎。対応も良く、バッテリーも値段に見合った感じかな。まあまあよいなと思いました。",4
"No.218 :","不器用な私でも貼れた",5
"No.219 :","良い商品です",5
"No.220 :","初期設定ができなかった為買取にだしました。英語表示だった。",1
"No.221 :","しっかりしてます。",5
"No.222 :","2か月使った感想ですがバッテリーの減り以外概ね満足なタブレット",4
"No.223 :","一週間後に、動かなくなりました。画質は荒いし、処理速度は遅い、この値段で買うのは行けないのかなと思いました。",1
"No.224 :","この価格でこの性能は充分でしょう。メモリ4Gのスマホ使ってる自分としては多少のもたつきを感じますがそれでも普通に使えます。子供用と合わせて3台購入しました。",4
"No.225 :","携帯電話と同じ使い方だし画面も十分大きいし値段もお安く手に入れれたので満足です。",4
"No.226 :","バッテリーの減りが早い　反応が少し遅い　説明書がp80専用ではなく分かりにくい所がある。以上の事を除けば良い製品　動画を見るには最適です。",3
"No.227 :","YouTubeを観る為に購入しました、画面も今使用しているタブレットと同じで観やすいです。",5
"No.228 :","値段以上の働き！",5
"No.229 :","does not work",1
"No.230 :","性能は価格相応。タイムセールでお安く購入できたので星４つにさせてもらいました。YouTube観たり、ちょっとした調べものなどには十分な性能ですが、やはりバッテリーの減りは速いです。あと元からついている保護フィルムの滑りが非常に悪いですね。これは変えた方がいいと思います。私は「スマホまもる君」という塗るコーティング剤を使って解決しました。",4
"No.231 :","使用歴まだ、3、4日といった所ですが、今のところ不満な点はありませんよ。母用のズームやYouTube視聴、バイバー電話などの、目的として購入しました。Android10というところもあり、動作は気になるほど遅くもありません。というか十分だと思います。順調です。8インチという軽さがたいへん扱いやすくいいですね。■音質は値段相応です。高級感はありませんが、十分です。■画質も、値段相応です。■マイクロSDカード の挿入口は、スロット式ではなく、裸状態で差し込み式でした、所が初めてだったので戸惑いましたが、ちゃんと128GBのSDカード対応でした。個人的に総評して、動作の速さがいいということです。文句なしです。買った決め手となったのは、楽天市場でこちらのレビューがたいへん賑わっており、高評価が多かったという所と、そのレビューの中で、気に入ってリピ買いした方がおられたと言いうところでした。ご参考なればと思います。",5
"No.232 :","父親用に購入しました。主にyoutubeや動画をみるためです。問題なく使用できます。GPSも搭載してますが、反応が悪く、家の中では反応しません。精度もよくありません。何よりyahooカーナビアプリをインストールできません。主で使用される方は苦労するかと思います。",3
"No.233 :","タブレットが欲しかったのでこの価格帯はありがたい！メインで使うわけでもなかったのでクオリティもちょうど良いです。",5
"No.234 :","ASUSのZENパッドから買い換えです。カメラの位置を上と見るとこれは横形タブレットです。自分はゲームと動画視聴が主用途ですが、横にしたとき上下の長い方のベゼル(縁)が結構太めなので、白を買ったけど黒の方が映画とか見るのに良かったかもと少し後悔。縁が黒の方が動画に没頭できる。白だと心理的に画面が狭く感じるので。ゲームはワールドタンクオブブリッツやバトルオブシップスを入れてるけどサクサク動くし精密射撃もできるのでいい感じ。(ZEN パッドは画面小さすぎて思うように狙えなかった)内部メモリーがたっぷりあるので、大容量ゲームやNetflixとかのダウンロードも楽勝です！",5
"No.235 :","ヘビー級ゲームもなんとかできる性能を持つ(苦しいが)高速なハイスペックタブレット。ライトなゲームなら余裕。重いゲームでなければなんでもサクサク動く。バッテリー容量も余裕があり長持ちする。まあ最新スマホと比べれば全然ですけど、タブレットとしてはこれだけ高速でSIM差して電話もできて約2万円ですから、信じられないほどコスパが良い。SoCが(CPUにあたるものとお考えください)マイナーではないため、相性問題がおこらずほぼ全てのアプリが正常に動く。残念なことにWiFi感度はそれほど良くなく特に5GHz帯は掴みが悪い。LTEの掴みも悪くAU回線は完全にダメで、ドコモ回線は起動後数分しかまともにつながらない。LINEモバイル、B-Mobile、OCN全てダメでした。ソフトバンク回線を使うしかない。ちなみにnuro使ってますが切れないものの死ぬほど遅いのでお勧めしませんw(高くなるがmineoあたりにしておきゃ良かった)。楽天はAU回線使えないんで止めといたほうがいい。下位機種のP20HDならドコモ回線(LINEモバイル、日本通信、OCNで確認)でも安定して使えるんですけどね・・・。WiFi

感度もP20HDの方があきらかに良い。P20HDはライト級ゲームで少しストレスが出るが、動画鑑賞やブラウジングの性能は十分すぎるのでゲームされない方はそっちの方がいい。安いし。M40は3D表示で極端に解像度が落ちるゲームアプリをいくつか確認した。SoCがマイナーなのでゲームされる方はこちらM30Proを選んだ方が絶対いい。初期設定は日本語選んどけば、特に変わったこともなく進む。始めタイムゾーンが中国になってるが放っておけば日本標準時に変わるし、手動で設定しても良い。10インチタブレットとしては重量はある方でバッテリーが大容量なのが響いてる。ベゼルも厚い。しかし例えばFire HD

10とかでも寝ながら持ってればどうせ疲れる。10インチタブが重いのは仕方がない。ストレージが128GBもあるのでmicroSDは一応入れてるが無くてもいい感じ。システム領域も8GB程度しか使っていない。メモリ6GBあるが4GB以上使わさったことはないから効果はよく分からない。リッチなゲームでは差が出るかもしれない。スピーカーはデュアルで音質はフラット。低音のブーストは無いが個人的には十分以上。3～5秒で起動するので再起動時もストレスはない。画質に関しては詳細にカスタマイズ可能なのだが、あまりに詳細にできるので面倒でデフォルトにしてる。良くもないが悪くもないといったところだ。ただしFire HD

10なんかと比較するとだいぶ劣る。IPSにしては視野角が狭いのも気になる。保護フィルムが貼ってあるのはありがたい(かなり低品質なフィルムだが)。10インチタブに上手くフィルム貼るのは結構手がかかるし、失敗もするからポイント高い。ただTECLASTタブのフィルム貼りはどうやってやってるんだか知らないが、何台か買ったうちの一つは埃入ってたので、ちょっとした賭けかもしれない。僕は最近TECLASTファンになったんだが個体差が大きいようで初期不良もあったので、無理にケチるより簡単に返品できるAmazonで買った方が絶対いいと思う。",5
"No.236 :","画質 バッテリー 問題ないです。ただ初期設定で日本語にするのに時間がかかりました。 慣れてる方なら大丈夫と思います。",4
"No.237 :","家でのWeb主体で時々ゲームなのであまりスピードも関係ありません、まぁ失礼ながら動けばいい思いで購入しました、レスポンス良く動いてくれます。一つ気になるのは3～5時間で電池が30%前後になる、もう少し持ってもらいたい。以前使用していた機種よりもかなり消耗が速い。初期不良で交換しましたが機種交換が決まるまで3週間はちょっとかかりすぎ、決まってからは早かったです。",3
"No.238 :","100％に充電して書籍閲覧で約2時間使用で50％まで減っている。充電しながら使えば問題ないが、出先で使おうとは思わない",2
"No.239 :","プロセカを入れて遊んでみた。感想：まあまあ軽い。曲を選んでから10数秒時間がいり、さらにやってる最中ちょくちょくラグくなる。でも、ラグくなったら停止ボタンを何度か押し「3.2.1」というカウントダウンがぬるぬる動くようになったら、開始。ガチャを引くときも最初に8秒くらい固まる。ストーリーを見るときも、5秒程度最初にかかる。オンラインをやるときには、3か4回くらい落ちるが、落ちなくなったら連続して落ちなくなる。このほかにも、ラインやインスタ、YouTube、Spotify、質問BOX、スリープタイマー、戦国布武などをいれているが、ラグいのを我慢すれば、いい商品！！そのほか・YouTube単体で見れば、サクサクとは言わないが動く・音質はちょっと重低音が足りてない感じだが、Bluetoothも何の問題もなくつなげられる。・カメラはおわってる...高画質アプリ化を使っても、どうにもなんない...・ライン通話もなんなくできるが、ビデオ通話はちょっとラグがあるができる・バッテリーの減りの速さは、ちょっと早い気がする。",4
"No.240 :","少し重いのが気になりますが、スピードも早く良い商品です。",5
